DATE,Workout Type,Workout Name,Sets,Reps,Weight (kg),Volume Load (kg)
24-Nov,Chest (compound),Flat Bench Press,2,10,20,400
24-Nov,Chest (isolation),Pec Deck,2,10,20,400
24-Nov,Back (vertical pull),Wide-Grip Lat Pulldown,2,10,20,400
24-Nov,Back (horizontal pull),Cable Row,2,10,32.5,650
24-Nov,Triceps,Front and Back Triceps Pushdown,2,6,15,180
24-Nov,Biceps,Biceps Cable Curl,2,10,20,400
25-Nov,Legs (compound),Back Squat,2,12,20,480
25-Nov,Legs,Leg Extension,2,12,30,720
25-Nov,Legs,Seated Hamstring Curls,2,12,30,720
25-Nov,Hips/Glutes,Outer Thigh Abduction,2,12,15,360
25-Nov,Hips/Adductors,Inner Thigh Abduction,2,12,15,360
25-Nov,Core,Crunches,2,10,1,20
26-Nov,Chest (upper-focus),Incline Dumbbell Bench Press,2,10,20,400
26-Nov,Shoulders,Dumbbell Shoulder Press,2,10,7.5,150
26-Nov,Shoulders,Hip-height Cable Lateral Raises,2,10,5,100
26-Nov,Triceps,Isolated Tricep Pushdown,2,10,15,300
26-Nov,Biceps,Biceps Cable Curl,2,10,20,400
27-Nov,Legs (compound),Back Squat,2,10,20,400
27-Nov,Legs (compound),Goblet Squat,2,10,7.5,150
27-Nov,Legs,Seated Hamstring Curls,2,10,40,800
27-Nov,Hips/Glutes(abductor),Outer Thigh Abduction,2,10,20,400
27-Nov,Hips/Adductors,Inner Thigh Abduction,2,10,20,400
27-Nov,Forearms/Grip,Forearm Cable Pushdown,2,10,20,400
27-Nov,Full-body/ Posterior chain,Trap Bar Deadlift,2,10,40,800
